"PROVINCE","FED_CODE","FED_NAME","VOTE_COUNT_Liberal","VOTE_COUNT_Conservative","VOTE_COUNT_Bloc","VOTE_COUNT_NDP","VOTE_COUNT_Green","VOTE_COUNT_Other","VOTE_PCT_Liberal","VOTE_PCT_Conservative","VOTE_PCT_Bloc","VOTE_PCT_NDP","VOTE_PCT_Green","VOTE_PCT_Other","WINNER"
"British Columbia",59024,"Pitt Meadows—Maple Ridge",30728,31924,0,4141,0,540,0.456358694845024,0.47412115901563867,0,0.06150030445695276,0,0.008019841682384567,"Conservative"
"British Columbia",59025,"Port Moody—Coquitlam",27074,25126,0,9360,519,117,0.43530130555019614,0.4039809634060068,0,0.1504919930542157,0.008344588076403626,0.0018811499131776964,"Liberal"
"British Columbia",59026,"Prince George—Peace River—Northern Rockies",11545,41956,0,3542,1259,690,0.19570450230539735,0.7112150800108489,0,0.06004203959858964,0.021341876864659614,0.011696501220504476,"Conservative"
"British Columbia",59027,"Richmond Centre—Marpole",21232,23532,0,2109,420,193,0.4471212567914754,0.49555658509876593,0,0.044413090173946006,0.008844712125679147,0.004064355810133513,"Conservative"
"British Columbia",59028,"Richmond East—Steveston",25705,24605,0,2251,494,0,0.4844972198661766,0.4637640184713976,0,0.042427669399679575,0.009311092262746207,0,"Liberal"
"British Columbia",59029,"Saanich—Gulf Islands",25409,20015,0,3163,31199,0,0.3184643922492668,0.2508585466121876,0,0.03964354648685233,0.3910335146516933,0,"Green"
"British Columbia",59030,"Similkameen—South Okanagan—West Kootenay",25431,30054,0,11033,1044,654,0.37280110238067315,0.4405711270083265,0,0.16173624956022048,0.015304327430514835,0.00958719362026504,"Conservative"
"British Columbia",59031,"Skeena—Bulkley Valley",4923,21202,0,17677,528,602,0.10956556574379062,0.4718686014421793,0,0.393416718596991,0.011751090536811181,0.0133980236802279,"Conservative"
"British Columbia",59032,"South Surrey—White Rock",33094,29924,0,1634,875,0,0.5050437224350268,0.45666671753628274,0,0.024936285805851024,0.01335327422283944,0,"Liberal"
"British Columbia",59033,"Surrey Centre",19900,17920,0,2811,395,428,0.4800501760988083,0.4322863897331982,0,0.06781010276451006,0.00952863414869494,0.01032469725478844,"Liberal"
"British Columbia",59034,"Surrey Newton",20263,18023,0,2467,0,222,0.4945210494203783,0.4398535692495424,0,0.060207443563148264,0,0.005417937766931055,"Liberal"
"British Columbia",59035,"Vancouver Centre",29855,16368,0,6807,757,274,0.5522465363200829,0.30276909417139897,0,0.12591332013836223,0.014002700652966094,0.005068348717189841,"Liberal"
